date,strategy,pnl,pnl_pct,total_trades,completed_trades,winning_trades,losing_trades,win_rate
2025-11-17,moderate,1.7724441140005638,0.17724441140005637,6,3,0,0,0.0
2025-11-18,moderate,-4.544976100799886,-0.45369346377056796,2,1,0,0,0.0
2025-11-19,moderate,4.599662196350437,0.46124503625180424,6,3,0,0,0.0
2025-11-20,moderate,5.680738250950185,0.5670377732495576,8,4,0,0,0.0
2025-11-21,moderate,-0.6342639280002231,-0.06295374436820977,6,3,0,0,0.0
2025-11-24,moderate,5.220872224999994,0.5185230997712055,6,3,0,0,0.0
2025-11-25,moderate,3.2084762565000347,0.31701351308419295,8,4,0,0,0.0
2025-11-26,moderate,4.479482192749856,0.4411966083081099,6,3,0,0,0.0
2025-11-28,moderate,0.7318540337499826,0.07176570300523036,2,1,0,0,0.0
2025-12-01,moderate,-1.1104960215999427,-0.10881729274231024,2,1,0,0,0.0
